Title,Author,Genre,Subject,Summary
Clallam County,Clallam County Historical Society,Nonfiction / Local History,"Clallam County, Washington State, Historical Photographs","A photographic local history of Clallam County on Washington's Olympic Peninsula, compiled by the county historical society."
Classical Africa,Molefi Kete Asante,Children's/Young Adult Nonfiction,"African History, Ancient Civilizations","A survey of Africa's classical civilizations — Egypt, Nubia, Ghana, Mali, Songhay and more — written for young students."
Classical Conversations Cycle 1 Geography: Africa — Trivium at the Table (placemat),Classical Conversations MultiMedia,Curriculum Chart / Laminated Reference,"African Geography, Memory Work",A laminated color Africa placemat listing the Cycle 1 geography memory work by week alongside illustrated landmarks and locations to point out.
Classical Conversations Cycle 1 Geography: World Map (placemat),Classical Conversations MultiMedia,Curriculum Chart / Laminated Reference,"World Geography, Maps","A laminated world map placemat for Cycle 1 geography memory work, labeling continents, oceans, major seas and rivers, with an inset of Mesoamerican civilizations."
Classical Conversations Cycle 1: Africa Outline Map (placemat),Classical Conversations MultiMedia,Curriculum Chart / Laminated Reference,"African Geography, Maps","A laminated blank outline map of Africa for drawing and labeling practice, part of the Cycle 1 geography sequence."
Classical Conversations Cycle 3: United States Political Map (placemat),Classical Conversations MultiMedia,Curriculum Chart / Laminated Reference,"US Geography, States","A laminated blank political outline of the United States for practicing state identification, with Alaska and Hawaii insets and a compass rose."
"Classical Conversations Trivium Tables: Geography, Cycle 2 — Europe",Classical Conversations MultiMedia,Curriculum Chart / Laminated Reference,"European Geography, Memory Work","A laminated two-sided study table listing the Cycle 2 geography memory work week by week — European waters, countries, rivers, cities, mountains, peninsulas and seas — with Geo Gem prompts on the USSR, wars and place-name etymology. Two copies on hand."
Clipper Ship Days: The Golden Age of American Sailing Ships,John Jennings,Children's Nonfiction / History,"Sailing Ships, Maritime History, Landmark Books","The rise of the American clipper ships from the launch of the Rainbow in 1845. Landmark Books #22, illustrated by Edward A. Wilson."
Cooking with the Cat,Bonnie Worth (illustrated by Christopher Moroney),Early Reader / Beginner Book,"Baking, Humor, Rhyme","The Cat in the Hat returns to bake a cake with Sally and her brother, making an enormous mess in rhyme."
Cracking the Wall: The Struggles of the Little Rock Nine,Eileen Lucas (illustrated by Mark Anthony),Children's Nonfiction,"Civil Rights, School Integration","The nine Black students who integrated Little Rock Central High in 1957, and what they faced walking through those doors."
Crafts Through the Year,Thomas & Petra Berger,Craft Instruction / Waldorf,"Seasonal Crafts, Festivals",Seasonal craft projects arranged through the year for families and classrooms in the Waldorf tradition.
Craftwork Techniques of the Native Americans,Elizabeth Auer,Craft Instruction,"Native American Crafts, Traditional Techniques","Traditional Native American craft techniques presented with materials, methods and cultural context."
Crayola Whimsical Escapes Coloring Book,Crayola,Coloring Book,"Coloring, Patterns",A coloring book of whimsical illustrated scenes and patterns.
"Creative Form Drawing with Children Aged 10–12 Years, Workbook 2",Angela Lord,Teaching Guide / Waldorf Curriculum,"Form Drawing, Geometry, Waldorf Pedagogy","The second workbook, moving into more complex braided, knotted and geometric forms for older children as form drawing shades into freehand geometry."
"Creative Form Drawing with Children Aged 6–10 Years, Workbook 1",Angela Lord,Teaching Guide / Waldorf Curriculum,"Form Drawing, Art, Waldorf Pedagogy","A workbook of form-drawing exercises for the lower grades, moving from straight and curved lines to mirrored and symmetrical forms, with guidance on why each form is introduced when it is."
Crown of Three,J.D. Rinehart,Children's Chapter Book / Fantasy,"Prophecy, Triplets, Kingdoms","Three siblings separated at birth are prophesied to rule Toronia together, if they can survive long enough to find each other. Book one of a middle-grade epic fantasy trilogy."
Cycle Savvy: The Smart Teen's Guide to the Mysteries of Her Body,"Toni Weschler, MPH",Nonfiction / Health,"Menstrual Cycle, Puberty, Teen Health",A teen-facing guide to the menstrual cycle and body literacy from the author of Taking Charge of Your Fertility.
D'Aulaires' Book of Greek Myths,Ingri and Edgar Parin d'Aulaire,Children's Mythology Anthology,"Greek Mythology, Gods and Heroes","The classic illustrated retelling of the Greek myths, from the Titans and the twelve Olympians through Perseus, Theseus, Heracles and the heroes, in lithograph-style artwork."
D'Aulaires' Book of Norse Myths,Ingri & Edgar Parin d'Aulaire (preface by Michael Chabon),Children's Mythology Anthology,"Norse Mythology, Gods and Giants, Illustrated Classic","The d'Aulaires' classic illustrated retelling of the Norse myths, from the creation of the world through Ragnarok. This edition carries a preface by Michael Chabon."
Damosel,Stephanie Spinner,Young Adult Historical Fantasy,"Arthurian Legend, Lady of the Lake, Retelling",The Arthurian story told in alternating voices by the Lady of the Lake and a dwarf in Arthur's court.
Dance in a Buffalo Skull,Zitkála-Šá (illustrated by S.D. Nelson),Children's Picture Book / Folktale,"Dakota Culture, Folklore","A Dakota tale by the Yankton Sioux writer Zitkála-Šá in which mice dance the night away inside a buffalo skull, unaware of the danger creeping close."
Daughter of the Deep,Rick Riordan,Children's Chapter Book / Science Fiction,"Submarines, Jules Verne, Marine Biology",Ana Dakkar's freshman trials at a marine science academy turn into a fight for the Nautilus itself. Riordan's riff on Twenty Thousand Leagues Under the Sea.
Deep in the Ocean,Lucie Brunellière,Children's Picture Book,"Ocean, Marine Life","A layered dive from the sunlit surface to the deep trenches, each spread descending further into the dark."
Desert Night Desert Day,Anthony D. Fredericks (illustrated by Jennifer DiRubbio Spengler),Children's Picture Book,"Desert, Wildlife, Day and Night",Rhyming verses following desert animals through the heat of day and the cool of night.
Dinosaurs: A Visual Encyclopedia,DK,Children's Reference,"Dinosaurs, Paleontology","A comprehensive illustrated encyclopedia of dinosaur species arranged by period and group, with fossil evidence and size comparisons."
Divergent,Veronica Roth,Young Adult Dystopian Fiction,"Factions, Identity, Chicago","In a Chicago sorted into five factions, Tris tests as Divergent, which makes her dangerous to the system. First in the Divergent trilogy."
DK Eyewitness Books: Ancient Civilizations,DK,Children's Reference,"Ancient History, Archaeology","A photographic survey of the ancient world's civilizations, their artifacts, cities, beliefs and daily life."
DK First Dictionary and Thesaurus,DK,Children's Reference / Dictionary,"Vocabulary, Grammar, Thesaurus","Over 3,000 entries with 800 photographs, combining a first dictionary and thesaurus with grammar notes, example sentences, spelling tips and word games."
DK Readers: Ape Adventures,Catherine Chambers,Early Reader Nonfiction,"Apes, Primates, Conservation","A leveled reader on gorillas, chimps, orangutans and bonobos — how they live, and the threats they face."
DK Readers: Big Machines,Karen Wallace,Early Reader Nonfiction,"Machines, Vehicles","A beginning reader about diggers, cranes, dumpers and other giant machines and the jobs they do."
Doodling Dragons: An ABC Book of Sounds,Denise Eide (illustrated by Ingrid Hess),Children's Picture Book / Phonics,"Alphabet, Phonograms","An alphabet book that teaches every sound each letter makes, not just one, with dragons doodling their way through the phonograms."
Double Take! A New Look at Opposites,Susan Hood (illustrated by Jay Fleck),Children's Picture Book,"Opposites, Perspective",A rhyming exploration showing that opposites depend entirely on where you're standing.
Dragon Feathers,Arnica Esterl (illustrated by Olga Dugina & Andrej Dugin),Children's Illustrated Folktale,"Folktale, Dragons, Quest","A retelling of the folktale in which a poor young man must journey to the ends of the earth and pluck three feathers from a sleeping dragon, illustrated in dense Renaissance-style miniature detail."
Dragon Masters #10: Waking the Rainbow Dragon,Tracey West,Children's Chapter Book / Fantasy,"Dragons, Magic, Friendship",Drake and the other Dragon Masters train with their dragons and face a new magical threat in this illustrated early chapter-book fantasy series.
Dragon Masters #11: Shine of the Silver Dragon,Tracey West,Children's Chapter Book / Fantasy,"Dragons, Magic, Friendship",Drake and the other Dragon Masters train with their dragons and face a new magical threat in this illustrated early chapter-book fantasy series.
Dragon Masters #12: Treasure of the Gold Dragon,Tracey West,Children's Chapter Book / Fantasy,"Dragons, Magic, Friendship",Drake and the other Dragon Masters train with their dragons and face a new magical threat in this illustrated early chapter-book fantasy series.
Dragon Masters #14: Land of the Spring Dragon,Tracey West,Children's Chapter Book / Fantasy,"Dragons, Magic, Friendship",Drake and the other Dragon Masters train with their dragons and face a new magical threat in this illustrated early chapter-book fantasy series.
Dragon Masters #15: Future of the Time Dragon,Tracey West,Children's Chapter Book / Fantasy,"Dragons, Magic, Friendship",Drake and the other Dragon Masters train with their dragons and face a new magical threat in this illustrated early chapter-book fantasy series.
Dragon Masters #16: Call of the Sound Dragon,Tracey West,Children's Chapter Book / Fantasy,"Dragons, Magic, Friendship",Drake and the other Dragon Masters train with their dragons and face a new magical threat in this illustrated early chapter-book fantasy series.
Dragon Masters #17: Fortress of the Stone Dragon,Tracey West,Children's Chapter Book / Fantasy,"Dragons, Magic, Friendship",Drake and the other Dragon Masters train with their dragons and face a new magical threat in this illustrated early chapter-book fantasy series.
